date,sentiment
2012-01-28,-0.045807
2012-01-29,-0.040108
2012-01-30,-0.047296
2012-01-31,-0.023019
2012-02-01,-0.00914
2012-02-02,-0.032694
2012-02-03,-0.007191
2012-02-04,-0.012297
2012-02-05,-0.048385
2012-02-06,-0.011224
2012-02-07,-0.018176
2012-02-08,-0.022373
2012-02-09,-0.012041
2012-02-10,-0.023821
2012-02-11,-0.087353
2012-02-12,-0.018605
2012-02-13,-0.014203
2012-02-14,-0.015825
2012-02-15,-0.028121
2012-02-16,-0.06404
2012-02-17,-0.017137
2012-02-18,-0.064309
2012-02-19,-0.075505
2012-02-20,-0.098303
2012-02-21,-0.010857
2012-02-22,0.00251
2012-02-23,-0.028024
2012-02-24,-0.001843
2012-02-25,-0.054912
2012-02-26,-0.037313
2012-02-27,-0.073862
2012-02-28,-0.027868
2012-02-29,-0.020732
2012-03-01,-0.016683
2012-03-02,-0.044621
2012-03-03,-0.071808
2012-03-04,-0.092296
2012-03-05,-0.043132
2012-03-06,-0.054595
2012-03-07,-0.013692
2012-03-08,-0.002226
2012-03-09,-0.009519
2012-03-10,-0.076821
2012-03-11,-0.062485
2012-03-12,-0.064532
2012-03-13,-0.035399
2012-03-14,-0.057165
2012-03-15,-0.013961
2012-03-16,-0.0142
2012-03-17,-0.036416
2012-03-18,-0.047045
2012-03-19,-0.009316
2012-03-20,-0.04319
2012-03-21,0.019795
2012-03-22,-0.030038
2012-03-23,-0.07044
2012-03-24,-0.08104
2012-03-25,-0.091764
2012-03-26,-0.047453
2012-03-27,-0.077285
2012-03-28,-0.040168
2012-03-29,-0.042766
2012-03-30,0.012202
2012-03-31,-0.147432
2012-04-01,-0.022749
2012-04-02,-0.038553
2012-04-03,0.016149
2012-04-04,-0.041905
2012-04-05,0.01011
2012-04-06,-0.004334
2012-04-07,-0.086875
2012-04-08,-0.018493
2012-04-09,0.013171
2012-04-10,-0.043252
2012-04-11,0.003413
2012-04-12,-0.034342
2012-04-13,-0.00083
2012-04-14,-0.059753
2012-04-15,-0.05602
2012-04-16,0.021884
2012-04-17,-0.049996
2012-04-18,0.007464
2012-04-19,-0.032561
2012-04-20,-0.002488
2012-04-21,-0.002747
2012-04-22,0.01658
2012-04-23,-0.022874
2012-04-24,-0.047235
2012-04-25,-0.042529
2012-04-26,-0.044578
2012-04-27,-0.036324
2012-04-28,-0.048975
2012-04-29,-0.009009
2012-04-30,-0.055373
2012-05-01,-0.023257
2012-05-02,-0.021681
2012-05-03,0.000372
2012-05-04,-0.048212
2012-05-05,-0.075915
2012-05-06,-0.079042
2012-05-07,-0.010312
2012-05-08,-0.025131
2012-05-09,-0.048914
2012-05-10,-0.026033
2012-05-11,0.005542
2012-05-12,-0.017438
2012-05-13,-0.014674
2012-05-14,-0.053426
2012-05-15,-0.056988
2012-05-16,-0.006466
2012-05-17,-0.027171
2012-05-18,-0.040803
2012-05-19,-0.064767
2012-05-20,-0.05903
2012-05-21,0.017122
2012-05-22,-0.042761
2012-05-23,-0.0306
2012-05-24,-0.018613
2012-05-25,-0.028757
2012-05-26,-0.021822
2012-05-27,-0.021293
2012-05-28,-0.153204
2012-05-29,0.002732
2012-05-30,-0.017819
2012-05-31,-0.057398
2012-06-01,-0.029377
2012-06-02,-0.059698
2012-06-03,-0.024974
2012-06-04,-0.078564
2012-06-05,-0.031963
2012-06-06,-0.067239
2012-06-07,-0.039263
2012-06-08,-0.054665
2012-06-09,-0.027542
2012-06-10,-0.013703
2012-06-11,-0.051992
2012-06-12,-0.019376
2012-06-13,-0.074083
2012-06-14,-0.024713
2012-06-15,-0.011892
2012-06-16,-0.0782
2012-06-17,-0.019532
2012-06-18,-0.020405
2012-06-19,-0.032351
2012-06-20,-0.009306
2012-06-21,-0.076777
2012-06-22,-0.034542
2012-06-23,-0.099446
2012-06-24,-0.019417
2012-06-25,-0.012246
2012-06-26,-0.003532
2012-06-27,-0.022788
2012-06-28,0.004867
2012-06-29,-0.047754
2012-06-30,-0.091834
2012-07-01,-0.046819
2012-07-02,-0.009119
2012-07-03,-0.020159
2012-07-04,-0.06401
2012-07-05,-0.070097
2012-07-06,-0.024047
2012-07-07,-0.077806
2012-07-08,-0.048239
2012-07-09,-0.060223
2012-07-10,-0.04787
2012-07-11,-0.031611
2012-07-12,-0.037017
2012-07-13,-0.047444
2012-07-14,0.003092
2012-07-15,-0.092511
2012-07-16,0.00906
2012-07-17,-0.022084
2012-07-18,-0.040949
2012-07-19,-0.010441
2012-07-20,-0.021487
2012-07-21,-0.067109
2012-07-22,-0.099736
2012-07-23,-0.017791
2012-07-24,0.01289
2012-07-25,-0.041958
2012-07-26,-0.072506
2012-07-27,-0.071535
2012-07-28,-0.069739
2012-07-29,-0.026957
2012-07-30,-0.023353
2012-07-31,-0.052556
2012-08-01,-0.037402
2012-08-02,-0.054125
